2026-07-30 10:20:43,339 | INFO | MainThread | Старт на обработка: 3 пратки, 3 нишки
2026-07-30 10:20:43,341 | INFO | ThreadPoolExecutor-0_0 | Обработена ZIP1001 -> Предадена на куриер за 0.00 сек.
2026-07-30 10:20:43,342 | INFO | ThreadPoolExecutor-0_0 | Обработена ZIP1002 -> Пристигнала в център за 0.00 сек.
2026-07-30 10:20:43,342 | INFO | ThreadPoolExecutor-0_0 | Обработена ZIP1003 -> Пристигнала в център за 0.00 сек.
2026-07-30 10:20:43,343 | INFO | MainThread | Край на обработката: 3 резултата
2026-07-30 10:20:43,344 | INFO | Thread-1 | Обработена ZIP1001 -> Транспортира се за 0.00 сек.
2026-07-30 10:20:43,344 | INFO | Thread-2 | Обработена ZIP1002 -> Пристигнала в център за 0.00 сек.
2026-07-30 10:20:43,345 | INFO | Thread-3 | Обработена ZIP1003 -> Пристигнала в център за 0.00 сек.
2026-07-31 00:57:36,384 | INFO | MainThread | Старт на обработка: 3 пратки, 3 нишки
2026-07-31 00:57:39,386 | INFO | ThreadPoolExecutor-0_1 | Обработена ZIP1003 -> Пристигнала в център за 3.00 сек.
2026-07-31 00:57:39,386 | INFO | ThreadPoolExecutor-0_0 | Обработена ZIP1001 -> Пристигнала в център за 3.00 сек.
2026-07-31 00:57:40,386 | INFO | ThreadPoolExecutor-0_2 | Обработена ZIP1004 -> Транспортира се за 4.00 сек.
2026-07-31 00:57:40,387 | INFO | MainThread | Край на обработката: 3 резултата
2026-07-31 01:24:00,634 | INFO | MainThread | Старт на обработка: 4 пратки, 3 нишки
2026-07-31 01:24:01,636 | INFO | ThreadPoolExecutor-0_1 | Обработена ZIP1003 -> В процес на обработка за 1.00 сек.
2026-07-31 01:24:03,636 | INFO | ThreadPoolExecutor-0_0 | Обработена ZIP1001 -> Предадена на куриер за 3.00 сек.
2026-07-31 01:24:04,637 | INFO | ThreadPoolExecutor-0_2 | Обработена ZIP1004 -> В процес на обработка за 4.00 сек.
2026-07-31 01:24:04,637 | INFO | ThreadPoolExecutor-0_1 | Обработена ZIP1005 -> Транспортира се за 3.00 сек.
2026-07-31 01:24:04,638 | INFO | MainThread | Край на обработката: 4 резултата
2026-07-31 05:46:09,586 | INFO | MainThread | Старт на обработка: 3 пратки, 3 нишки
2026-07-31 05:46:09,587 | INFO | ThreadPoolExecutor-0_0 | Обработена ZIP1001 -> Пристигнала в център за 0.00 сек.
2026-07-31 05:46:09,588 | INFO | ThreadPoolExecutor-0_0 | Обработена ZIP1002 -> Предадена на куриер за 0.00 сек.
2026-07-31 05:46:09,588 | INFO | ThreadPoolExecutor-0_1 | Обработена ZIP1003 -> Пристигнала в център за 0.00 сек.
2026-07-31 05:46:09,588 | INFO | MainThread | Край на обработката: 3 резултата
2026-07-31 05:46:09,589 | INFO | Thread-1 | Обработена ZIP1001 -> В процес на обработка за 0.00 сек.
2026-07-31 05:46:09,589 | INFO | Thread-2 | Обработена ZIP1002 -> Предадена на куриер за 0.00 сек.
